name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Pseudomonas fulva	47880	species	4920769	1	0	0.0
Pseudomonas synxantha	47883	species	45801379	1	1	0.0
Pseudomonas oryzihabitans	47885	species	10099269	1	1	0.0
Serratia fonticola	47917	species	29630167	2	0	0.0
Microbulbifer hydrolyticus	48074	species	4209307	1	1	0.0
Verrucomicrobiales	48461	order	2664102	2	0	0.0
Xanthomonas fragariae	48664	species	21445839	1	0	0.0
Streptomyces viridifaciens	48665	species	7757877	4	1	0.0
Ralstonia	48736	genus	5694356	1	0	0.0
Rubrobacter xylanophilus	49319	species	3225748	2	0	0.0
Flavobacteriaceae	49546	family	3488032	1	0	0.0
Ureibacillus thermosphaericus	51173	species	3488104	1	0	0.0
Pediococcus damnosus	51663	species	11570178	2	0	0.0
Tetragenococcus halophilus	51669	species	2562720	4	0	0.0
Actinomyces howellii	52771	species	3148934	70	13	0.0
Schaalia meyeri	52773	species	2049088	30	19	0.0
Actinomyces slackii	52774	species	3220508	77	17	0.0
Intrasporangium calvum	53358	species	4024382	4	0	0.0
Pseudomonas citronellolis	53408	species	14631203	3	0	0.0
Halanaerobiales	53433	order	2501564	1	0	0.0
Janibacter	53457	genus	0	3	0	0.0
Janibacter limosus	53458	species	3545254	1	1	0.0
Nakamurella multipartita	53461	species	6060298	1	0	0.0
Mycolicibacterium mageritense	53462	species	8006721	3	2	0.0
Mycoplasma edwardii	53558	species	832213	2	0	0.0
Peptoniphilus harei	54005	species	1739102	1	1	0.0
Xylophilus	54066	genus	0	2	0	0.0
Thermococcus chitonophagus	54262	species	3931627	2	0	0.0
Streptomyces venezuelae	54571	species	8223505	16	9	0.0
Xanthomonas cucurbitae	56453	species	4615492	1	0	0.0
Xanthomonas hyacinthi	56455	species	4963026	1	1	0.0
Xanthomonas vesicatoria	56460	species	5349905	1	0	0.0
Halorubrum	56688	genus	3692576	1	0	0.0
Rhizobium gallicum	56730	species	7474202	1	0	0.0
Thermus brockianus	56956	species	2388273	2	1	0.0
Pseudodesulfovibrio profundus	57320	species	4217908	2	0	0.0
Kocuria	57493	genus	2697540	1	0	0.0
Halomicrobium mukohataei	57705	species	3332349	2	0	0.0
Burkholderia thailandensis	57975	species	7411824	1	1	0.0
Colwellia sp. MT41	58049	species	4337945	1	1	0.0
Streptomyces lavendulae subsp. lavendulae	58340	subspecies	8932792	3	2	0.0
Streptomyces platensis	58346	species	8501012	1	0	0.0
Salmonella enterica subsp. diarizonae	59204	subspecies	29700323	2	0	0.0
Methanobacterium subterraneum	59277	species	5022042	3	1	0.0
Fibrobacter succinogenes subsp. succinogenes S85	59374	leaf	7685639	2	0	0.0
Actinotignum schaalii	59505	species	2159306	2	1	0.0
Rathayibacter iranicus	59737	species	3436894	1	0	0.0
Pantoea dispersa	59814	species	9115642	2	0	0.0
Lactobacillus graminis	60519	species	1807083	1	1	0.0
Lactobacillus paraplantarum	60520	species	6508258	1	1	0.0
Burkholderia pyrrocinia	60550	species	15965745	1	1	0.0
Phaeobacter gallaeciensis	60890	species	4540155	1	1	0.0
Sanguibacter	60919	genus	4253413	3	0	0.0
Sanguibacter keddieii	60920	species	4253413	2	0	0.0
Dehalococcoides	61434	genus	1412881	1	0	0.0
Paenibacillus mucilaginosus	61624	species	8740689	2	0	0.0
Pluralibacter gergoviae	61647	species	16305844	2	0	0.0
Kluyvera intermedia	61648	species	14616114	1	1	0.0
Serratia ficaria	61651	species	5209973	1	0	0.0
Serratia rubidaea	61652	species	25132096	6	0	0.0
Azoarcus sp. BH72	62928	species	4376040	2	0	0.0
Sideroxydans lithotrophicus	63745	species	3003656	1	0	0.0
Halobacterium salinarum NRC-1	64091	leaf	2571010	1	0	0.0
Mitsuaria	65047	genus	0	1	0	0.0
Actinoalloteichus	65496	genus	0	1	0	0.0
Meiothermus	65551	genus	3409563	1	0	0.0
Pantoea stewartii	66269	species	5314092	2	0	0.0
Streptomyces luteoverticillatus	66425	species	7367863	1	1	0.0
Streptomyces aureoverticillatus	66871	species	9738430	2	0	0.0
Mycolicibacterium alvei	67081	species	6016846	1	0	0.0
Streptomyces cavourensis	67258	species	15214232	2	0	0.0
Streptomyces cinereoruber	67260	species	7516652	2	0	0.0
Streptomyces alboflavus	67267	species	9967549	2	2	0.0
Streptomyces griseorubiginosus	67304	species	18738405	2	1	0.0
Streptomyces prasinus	67345	species	7647592	2	1	0.0
Edwardsiella ictaluri	67780	species	3812301	1	0	0.0
Streptomyces fungicidicus	68203	species	7667496	2	2	0.0
Streptomyces globosus	68209	species	7535750	1	0	0.0
Streptomyces spectabilis	68270	species	19312825	4	2	0.0
Mesorhizobium	68287	genus	6950930	2	0	0.0
Thermoanaerobacterales	68295	order	2730087	1	0	0.0
Streptomyces albulus	68570	species	18708619	2	0	0.0
Cupriavidus basilensis	68895	species	8421483	1	1	0.0
Methanopyrales	68985	order	1694969	2	0	0.0
Enterobacter cancerogenus	69218	species	9789085	1	1	0.0
Phyllobacteriaceae	69277	family	6950930	1	0	0.0
Pseudomonas sp. VLB120	69328	species	5966222	1	0	0.0
Curtobacterium pusillum	69373	species	4541048	1	0	0.0
Caulobacter henricii	69395	species	3957288	2	1	0.0
Desulfuromonadales	69541	order	4166387	2	0	0.0
Caulobacter sp. FWC26	69665	species	4869030	1	1	0.0
Caulobacter mirabilis	69666	species	4577265	3	3	0.0
Xanthomonas arboricola pv. pruni	69929	leaf	5141998	1	0	0.0
Azotobacter salinestris	69964	species	5292366	1	0	0.0
Pseudomonas plecoglossicida	70775	species	11758774	1	0	0.0
Kocuria palustris	71999	species	2854447	2	1	0.0
Kocuria rhizophila	72000	species	2697540	2	0	0.0
Pseudomonadales	72274	order	7879796	7	0	0.0
Alteromonadaceae	72275	family	4602231	1	0	0.0
Bacillus vallismortis	72361	species	12174521	2	2	0.0
Staphylococcus capitis subsp. capitis	72758	subspecies	2503265	1	0	0.0
Tessaracoccus	72763	genus	0	2	0	0.0
Aeromonas encheleia	73010	species	4542521	1	0	0.0
Streptomyces seoulensis	73044	species	6426245	2	0	0.0
Antarctobacter heliothermus	74033	species	5331190	1	0	0.0
Collinsella aerofaciens	74426	species	9209673	7	1	0.0
Frankiaceae	74712	family	7497934	1	0	0.0
Paraburkholderia caribensis	75105	species	9482704	2	0	0.0
Streptomyces autolyticus	75293	species	10184660	2	0	0.0
Micropruina glycogenica	75385	species	3844677	3	0	0.0
Pseudomonas libanensis	75588	species	6282445	1	1	0.0
Mannheimia haemolytica	75985	species	2625329	1	0	0.0
Aromatoleum aromaticum EbN1	76114	leaf	4727255	1	0	0.0
Prevotella enoeca	76123	species	2861432	3	0	0.0
Pseudomonas monteilii	76759	species	5972603	5	2	0.0
Fusobacterium nucleatum subsp. nucleatum	76856	subspecies	4413111	12	0	0.0
Fusobacterium nucleatum subsp. polymorphum	76857	subspecies	7598824	11	0	0.0
Fusobacterium nucleatum subsp. animalis	76859	subspecies	4860157	2	0	0.0
Streptococcus constellatus	76860	species	1954077	17	0	0.0
Bifidobacterium gallinarum	78344	species	2414462	1	0	0.0
Streptococcus viridans	78535	species	1998575	3	0	0.0
Asticcacaulis excentricus	78587	species	4308776	1	0	0.0
Denitrobacterium detoxificans	79604	species	2446250	1	0	0.0
Bacillus horikoshii	79883	species	4295882	1	1	0.0
Methanothermobacter marburgensis str. Marburg	79929	leaf	1639135	1	1	0.0
Haliangium ochraceum	80816	species	9446314	1	0	0.0
Burkholderiales	80840	order	6876513	24	1	0.0
Herbaspirillum rubrisubalbicans	80842	species	5611261	1	0	0.0
Moritella viscosa	80854	species	5093989	1	1	0.0
Comamonadaceae	80864	family	5361178	2	0	0.0
Delftia	80865	genus	6767514	1	0	0.0
Acidovorax citrulli	80869	species	5352772	1	0	0.0
Thermanaerovibrio acidaminovorans	81462	species	1848474	1	0	0.0
Rhizobiaceae	82115	family	6287308	2	0	0.0
Microbacterium oxydans	82380	species	7731180	1	1	0.0
Cupriavidus pauculus	82633	species	13241952	3	2	0.0
Pseudanabaena sp. PCC 7367	82654	species	4885680	1	1	0.0
Aminobacter aminovorans	83263	species	6890726	1	1	0.0
Desulfosarcina ovata	83564	species	16043778	3	1	0.0
Stenotrophomonas nitritireducens	83617	species	4541729	1	0	0.0
Pseudoxanthomonas	83618	genus	3435801	1	0	0.0
Streptomyces tsukubensis	83656	species	16653528	3	1	0.0
Nocardiopsaceae	83676	family	5543981	5	0	0.0
Thermobifida	83677	genus	3642249	1	0	0.0
Nonomuraea	83681	genus	0	2	0	0.0
Succinivibrio dextrinosolvens	83771	species	3468545	1	1	0.0
Kineosporiaceae	83778	family	4956672	5	0	0.0
Methanobrevibacter ruminantium	83816	species	2937203	2	0	0.0
Clostridium aceticum	84022	species	4207037	1	1	0.0
Gordonia alkanivorans	84096	species	4979656	2	1	0.0
Eggerthella lenta	84112	species	3632260	2	0	0.0
Gemella sanguinis	84135	species	1796606	1	0	0.0
Microbacterium chocolatum	84292	species	3168630	2	1	0.0
Lysobacter antibioticus	84531	species	11681564	4	1	0.0
Beutenbergia cavernae	84757	species	4669183	2	0	0.0
Desulfotalea psychrophila	84980	species	3659634	1	0	0.0
Acidimicrobiia	84992	class	3494169	1	0	0.0
Acidimicrobiales	84993	order	3494169	5	0	0.0
Rubrobacterales	84996	order	3225748	2	0	0.0
Coriobacteriia	84998	class	2427001	1	0	0.0
Coriobacteriales	84999	order	1903794	1	0	0.0
Bifidobacteriales	85004	order	2593741	1	0	0.0
Micrococcales	85006	order	3827208	51	0	0.0
Corynebacteriales	85007	order	5215365	14	0	0.0
Propionibacteriales	85009	order	3142856	10	0	0.0
Pseudonocardiales	85010	order	9441254	1	0	0.0
Streptosporangiales	85012	order	6364076	3	0	0.0
Nocardioidaceae	85015	family	5978097	10	0	0.0
Promicromonosporaceae	85017	family	3655364	1	0	0.0
Brevibacteriaceae	85019	family	0	1	0	0.0
Dermabacteraceae	85020	family	3614992	1	0	0.0
Intrasporangiaceae	85021	family	3722328	3	0	0.0
Microbacteriaceae	85023	family	4437172	13	0	0.0
Nocardiaceae	85025	family	7002200	4	0	0.0
Gordoniaceae	85026	family	5567155	3	0	0.0
Geodermatophilaceae	85030	family	5098918	3	0	0.0
Nakamurellaceae	85031	family	6060298	1	0	0.0
Sporichthyaceae	85033	family	0	2	0	0.0
Mannheimia varigena	85404	species	2201818	1	0	0.0
Thauera sp. MZ1T	85643	species	4574586	2	0	0.0
Achromobacter xylosoxidans	85698	species	7359146	9	2	0.0
Pseudomonas lundensis	86185	species	4814265	1	0	0.0
Pseudomonas chlororaphis subsp. aurantiaca	86192	subspecies	82458883	2	0	0.0
Burkholderia multivorans	87883	species	10170089	1	1	0.0
Caulobacter segnis	88688	species	4655622	1	0	0.0
Neisseria elongata subsp. glycolytica	88719	subspecies	2249415	2	0	0.0
Corynebacterium terpenotabidum	89154	species	2751233	1	0	0.0
Xanthomonas gardneri	90270	species	11041650	1	0	0.0
Bacilli	91061	class	4004361	5	0	0.0
Enterobacterales	91347	order	9150247	2	0	0.0
Streptomyces malaysiensis	92644	species	21414977	3	0	0.0
Aquabacterium	92793	genus	0	1	0	0.0
Pandoraea pnomenusa	93220	species	5429298	1	0	0.0
Shewanella sp. ANA-3	94122	species	5251146	1	1	0.0
Bordetella petrii	94624	species	5287950	2	1	0.0
Methanosarcinales	94695	order	3916698	1	0	0.0
Burkholderia cenocepacia	95486	species	7744804	4	1	0.0
Candidatus Saccharibacteria	95818	phylum	0	22	19	0.0
Cupriavidus oxalaticus	96344	species	15265584	9	1	0.0
Flavobacterium psychrophilum	96345	species	2803807	1	0	0.0
Thauera chlorobenzoica	96773	species	3735506	1	0	0.0
arsenite-oxidising bacterium NT-25	97707	species	4737957	1	0	0.0
Bacillus sp. OxB-1	98228	species	3594618	1	1	0.0
Austwickia chelonae	100225	species	3631970	2	0	0.0
Streptomyces coelicolor A3(2)	100226	leaf	17722511	2	0	0.0
Rhodococcus jostii RHA1	101510	leaf	9702737	2	0	0.0
Burkholderia ubonensis	101571	species	7189071	3	2	0.0
Collinsella	102106	genus	0	1	0	0.0
Streptococcus infantarius	102684	species	2008249	1	0	0.0
Nostoc sp. PCC 7120 = FACHB-418	103690	species	7211789	1	0	0.0
Actinosynnema pretiosum subsp. pretiosum	103721	subspecies	8340266	4	0	0.0
Saccharothrix espanaensis	103731	species	9360653	1	0	0.0
Saccharothrix syringae	103733	species	10929570	2	2	0.0
Rhodococcus pyridinivorans	103816	species	5590512	4	0	0.0
Bordetella hinzii	103855	species	63864402	1	1	0.0
Pseudomonas frederiksbergensis	104087	species	18923076	1	0	0.0
Microbacterium foliorum	104336	species	7186924	5	1	0.0
Ralstonia mannitolilytica	105219	species	14753983	2	0	0.0
Nitrosococcus watsonii C-113	105559	leaf	3373286	1	1	0.0
Methylibium petroleiphilum	105560	species	4643639	1	0	0.0
Frankia casuarinae	106370	species	5433628	3	1	0.0
Cupriavidus necator	106590	species	11656048	1	1	0.0
Ensifer adhaerens	106592	species	14690474	1	1	0.0
Thioalkalivibrio versutus	106634	species	2969361	1	0	0.0
Acinetobacter nosocomialis	106654	species	3824973	1	0	0.0
Methylomonas sp. LW13	107637	species	5233523	1	0	0.0
Leptotrichia trevisanii	109328	species	8459945	24	0	0.0
Rathayibacter festucae	110937	species	4359758	1	0	0.0
Actinomyces radicidentis	111015	species	3051613	73	14	0.0
Streptococcus australis	113107	species	4090101	3	0	0.0
Desulfurococcales	114380	order	1482130	1	0	0.0
Mogibacterium diversum	114527	species	1815831	6	1	0.0
Haloferax alexandrinus	114529	species	3706983	1	0	0.0
Bradyrhizobium sp. ORS 278	114615	species	7456587	2	0	0.0
Bradyrhizobium sp. ORS 285	115808	species	7797098	2	1	0.0
Micropruina	116071	genus	0	1	0	0.0
Caloranaerobacter azorensis	116090	species	2539490	2	0	0.0
Streptomyces coeruleorubidus	116188	species	9335698	2	0	0.0
Flavobacteriia	117743	class	2877361	2	0	0.0
Methanobacterium congolense	118062	species	2469575	3	0	0.0
Buchnera aphidicola (Rhopalosiphum maidis)	118109	leaf	642929	1	0	0.0
Pleurocapsa sp. PCC 7327	118163	leaf	4986817	1	1	0.0
Deinococcales	118964	order	3978081	3	0	0.0
Methylobacteriaceae	119045	family	7385556	2	0	0.0
Cupriavidus metallidurans	119219	species	6913352	1	0	0.0
Streptococcus dysgalactiae subsp. equisimilis	119602	subspecies	22009311	2	1	0.0
Propionibacterium australiense	119981	species	3044331	11	1	0.0
Treponema sp. OMZ 804	120683	species	2980180	47	35	0.0
Pseudarthrobacter sulfonivorans	121292	species	5056151	2	2	0.0
Pseudomonas psychrophila	122355	species	5313922	1	0	0.0
Ornithinimicrobium	125287	genus	0	1	0	0.0
Mycolicibacterium doricum	126673	species	4029398	1	0	0.0
Erysipelotrichaceae	128827	family	1770425	2	0	0.0
Geobacillus	129337	genus	3628949	3	0	0.0
Kineococcus radiotolerans	131568	species	4956672	1	0	0.0
Desulfomicrobium orale	132132	species	2783374	1	0	0.0
Streptomyces alboniger	132473	species	7962786	1	0	0.0
Caldilinea aerophila	133453	species	5144873	1	0	0.0
Olsenella	133925	genus	2051896	1	0	0.0
Paraburkholderia caledonica	134536	species	7211159	1	0	0.0
Mycolicibacterium goodii	134601	species	7105933	3	2	0.0
Actinoplanes sp. SE50/110	134676	species	18480017	5	0	0.0
Bacillus subtilis subsp. subtilis	135461	subspecies	104112375	1	0	0.0
Chromatiales	135613	order	3742874	8	0	0.0
Xanthomonadales	135614	order	17217631	5	0	0.0
Methylococcales	135618	order	4384317	2	0	0.0
Oceanospirillales	135619	order	2628861	3	0	0.0
Pseudomonadaceae	135621	family	8873413	2	0	0.0
Alteromonadales	135622	order	4750860	1	0	0.0
Aeromonadales	135624	order	5684342	3	0	0.0
Sphingobium amiense	135719	species	4773922	1	0	0.0
Azospirillum sp. B510	137722	leaf	7599738	2	0	0.0
Serratia symbiotica	138074	species	1762765	1	1	0.0
Curtobacterium flaccumfaciens pv. flaccumfaciens	138532	leaf	3933752	3	1	0.0
Dietzia psychralcaliphila	139021	species	3904836	1	0	0.0
Geovibrio thiophilus	139438	species	2997552	1	0	0.0
Filifactor alocis	143361	species	1931012	7	0	0.0
Fusobacterium necrophorum subsp. funduliforme	143387	subspecies	6710481	120	37	0.0
Fusobacterium necrophorum subsp. necrophorum	143388	subspecies	2678415	6	0	0.0
[Eubacterium] sulci	143393	species	1739380	1	0	0.0
Methanothermobacter	145260	genus	1695256	16	0	0.0
Bogoriellaceae	145358	family	0	1	0	0.0
Rathayibacter toxicus	145458	species	4674320	2	0	0.0
Corynebacterium simulans	146827	species	5336673	1	1	0.0
Salinibacter ruber	146919	species	3710123	3	3	0.0
Streptomyces parvulus	146923	species	7766531	1	0	0.0
Thermobispora	147067	genus	4189976	1	0	0.0
Paracoccus yeei	147645	species	18808488	1	1	0.0
Lactobacillus iners	147802	species	9837065	5	0	0.0
Lactobacillus kunkeei	148814	species	1614522	1	1	0.0
Streptococcus equi subsp. equi	148942	subspecies	2253416	3	0	0.0
Streptococcus lutetiensis	150055	species	1975547	1	0	0.0
Cupriavidus campinensis	151783	species	6739136	2	0	0.0
Burkholderia dolosa	152500	species	6409095	2	0	0.0
Georgenia	154116	genus	0	5	0	0.0
Fusobacterium nucleatum subsp. vincentii	155615	subspecies	2087706	1	0	0.0
Leptotrichia wadei	157687	species	7256290	9	0	0.0
Leptotrichia hofstadii	157688	species	2604381	7	3	0.0
Leptotrichia shahii	157691	species	2161166	2	0	0.0
Pseudomonas parafulva	157782	species	14986882	5	0	0.0
Cellulosimicrobium	157920	genus	0	1	0	0.0
Novosphingobium resinovorum	158500	species	6918128	3	3	0.0
Cedecea neteri	158822	species	19970488	4	2	0.0
Collimonas fungivorans	158899	species	5186898	1	0	0.0
Dechloromonas aromatica RCB	159087	leaf	4501104	1	0	0.0
Corynebacterium phocae	161895	species	2791883	2	0	0.0
Microbacterium hominis	162426	species	3624793	1	0	0.0
Oerskovia	162491	genus	0	1	0	0.0
Glutamicibacter creatinolyticus	162496	species	3309128	3	0	0.0
Blattabacterium punctulatus	164514	species	611038	1	0	0.0
Blattabacterium clevelandi	164516	species	620771	1	0	0.0
Thermobaculum terrenum	166501	species	3101581	1	0	0.0
Colwellia psychrerythraea 34H	167879	leaf	5373180	1	0	0.0
Citricoccus	169133	genus	0	1	0	0.0
Paraburkholderia terricola	169427	species	7118039	1	1	0.0
Paraburkholderia hospita	169430	species	22344267	2	1	0.0
Clostridium saccharobutylicum	169679	species	5107814	1	0	0.0
Mycobacterium lacus	169765	species	5092988	1	0	0.0
Tistrella	171436	genus	6512983	2	0	0.0
Bacteroidales	171549	order	4023340	5	0	0.0
Rothia aeria	172042	species	2588680	1	0	0.0
Elizabethkingia miricola	172045	species	12885116	1	0	0.0
Candidatus Kuenenia stuttgartiensis	174633	species	8741085	1	1	0.0
Agrobacterium fabrum str. C58	176299	leaf	5674258	1	0	0.0
Desulfotalea psychrophila LSv54	177439	leaf	3659634	2	1	0.0
Bacillus thuringiensis serovar coreanensis	180843	leaf	6286121	1	0	0.0
Pectobacterium brasiliense	180957	species	19663440	1	1	0.0
Schaalia cardiffensis	181487	species	2230588	2	0	0.0
Kribbella	182639	genus	7579488	1	0	0.0
Oceanobacillus iheyensis	182710	species	3630528	1	0	0.0
Clostridium isatidis	182773	species	2869927	1	0	0.0
Thermoprotei	183924	class	2043274	2	0	0.0
Halobacteria	183963	class	4030072	1	0	0.0
Corallococcus coralloides	184914	species	10080619	1	1	0.0
Mycobacterium parmense	185642	species	5952912	3	2	0.0
Xylanimonas cellulosilytica	186189	species	3831380	3	0	0.0
Clostridia	186801	class	3865984	8	0	0.0
Clostridiales	186802	order	4215646	12	0	0.0
Peptostreptococcaceae	186804	family	4312020	1	0	0.0
Paenibacillaceae	186822	family	7408137	3	0	0.0
Lactobacillales	186826	order	2792041	3	0	0.0
Caldithrix	187144	genus	4978541	1	0	0.0
Alkalilimnicola ehrlichii MLHE-1	187272	leaf	3275944	2	1	0.0
Methanothermobacter thermautotrophicus str. Delta H	187420	leaf	1751377	1	0	0.0
Corynebacterium glaucum	187491	species	2518659	1	0	0.0
Thalassolituus oleivorans	187493	species	3842190	1	0	0.0
Streptomyces koyangensis	188770	species	7220839	1	0	0.0
Thermaceae	188786	family	2498247	2	0	0.0
Deinococci	188787	class	3164172	3	0	0.0
Thermomicrobia	189775	class	3457254	1	0	0.0
Nitrospirales	189778	order	2325020	1	0	0.0
Actinobacillus porcitonsillarum	189834	species	2263191	1	0	0.0
Mycobacterium sp. KMS	189918	species	6256079	1	1	0.0
Bradyrhizobium paxllaeri	190148	species	8377719	2	0	0.0
Plantibacter	190323	genus	0	1	0	0.0
Vibrio coralliilyticus	190893	species	5634694	1	0	0.0
Deferribacterales	191393	order	2627038	1	0	0.0
Corynebacterium atypicum	191610	species	2359448	2	0	0.0
Desulfovibrionaceae	194924	family	3580367	1	0	0.0
Aeromonas hydrophila subsp. hydrophila	196023	subspecies	5365058	1	0	0.0
Methanocaldococcaceae	196117	family	1638261	1	0	0.0
Nocardioides sp. JS614	196162	species	5293685	2	0	0.0
Actinoplanes friuliensis	196914	species	9376071	3	0	0.0
Paraglaciecola mesophila	197222	species	5039229	1	1	0.0
Arcobacter halophilus	197482	species	2812536	1	1	0.0
Azoarcus sp. CIB	198107	species	5257030	2	0	0.0
Brevibacterium luteolum	199591	species	3179618	3	0	0.0
Bacteroidia	200643	class	4023340	1	0	0.0
Flavobacteriales	200644	order	2877361	1	0	0.0
Planococcus rifietoensis	200991	species	3505011	1	0	0.0
Actinobacteria	201174	phylum	4955642	3	0	0.0
Halobiforma	203193	genus	4381543	1	0	0.0
Tannerella forsythia 92A2	203275	leaf	3405521	166	12	0.0
Dictyoglomaceae	203488	family	1907773	1	0	0.0
Fusobacteriia	203490	class	3124612	2	0	0.0
Fusobacteriales	203491	order	3124612	3	0	0.0
Fusobacteriaceae	203492	family	3160246	1	0	0.0
Planctomycetia	203683	class	6682242	4	0	0.0
Spirochaetia	203692	class	2968928	2	0	0.0
Nitrospira	203693	class	2325020	1	0	0.0
Chlamydiia	204429	class	1317793	1	0	0.0
Acidobacteriia	204432	class	5972572	1	0	0.0
Rhodospirillales	204441	order	4188317	6	0	0.0
Rhodobacterales	204455	order	4397744	3	0	0.0
Sphingomonadales	204457	order	4161761	5	0	0.0
Caulobacterales	204458	order	4141461	4	0	0.0
Ehrlichia chaffeensis str. Arkansas	205920	leaf	1176248	1	1	0.0
Neisseriales	206351	order	2367445	3	0	0.0
Rhodocyclales	206389	order	4186782	3	0	0.0
Streptomyces sp. FR-008	206662	species	7258031	2	0	0.0
Roseomonas mucosa	207340	species	4996294	2	0	0.0
Desulfovibrio alaskensis G20	207559	leaf	3730232	1	1	0.0
Variovorax sp. WDL1	207745	species	8360137	1	0	0.0
Enterocloster bolteae	208479	species	6614036	1	0	0.0
Escherichia albertii	208962	species	4701875	2	0	0.0
Mycolicibacterium madagascariense	212765	species	5940375	2	1	0.0
Desulfovibrionales	213115	order	3511273	2	0	0.0
Desulfobacterales	213118	order	4263460	1	0	0.0
Geobacteraceae	213422	family	4227210	1	0	0.0
Bdellovibrionales	213481	order	3359107	1	0	0.0
Roseovarius mucosus	215743	species	4381426	2	0	0.0
Bifidobacterium longum	216816	species	4075024	1	0	0.0
Mycolicibacterium psychrotolerans	216929	species	5732362	2	2	0.0
Spiroplasma turonicum	216946	species	2522749	2	0	0.0
Achromobacter spanius	217203	species	25860843	3	3	0.0
Achromobacter insolitus	217204	species	26287108	8	0	0.0
Bacillus vietnamensis	218284	species	4597807	1	1	0.0
Fibrobacterales	218872	order	7685639	1	0	0.0
Gemmatimonadaceae	219687	family	4636964	1	0	0.0
Treponema putidum	221027	species	2800562	48	18	0.0
Phaeobacter inhibens	221822	species	4194026	2	1	0.0
Mycobacterium chimaera	222805	species	56292304	1	0	0.0
Methylorubrum populi	223967	species	5848997	2	1	0.0
Methanobrevibacter sp. AbM4	224719	species	1998189	31	16	0.0
Acidithiobacillales	225057	order	3119226	1	0	0.0
Corynebacterium halotolerans	225326	species	3222008	1	0	0.0
Comamonas kerstersii	225992	species	3547915	1	0	0.0
Streptomyces avermitilis MA-4680 = NBRC 14893	227882	leaf	9119895	1	0	0.0
Histophilus somni 2336	228400	leaf	2263857	1	0	0.0
Methanobrevibacter millerae	230361	species	2543538	148	69	0.0
Candidatus Rhodoluna limnophila	232537	species	4185049	1	1	0.0
Acidovorax sp. JS42	232721	species	4585154	1	0	0.0
Candidatus Solibacter usitatus Ellin6076	234267	leaf	9965640	2	1	0.0
Streptomyces sp. TN58	234612	species	7585034	3	1	0.0
Fastidiosipila sanguinis	236753	species	1785891	4	2	0.0
Cloacibacterium normanense	237258	species	2759562	1	1	0.0
Pseudomonas psychrotolerans	237610	species	10750344	2	0	0.0
Acidobacterium capsulatum ATCC 51196	240015	leaf	4127356	3	2	0.0
Lactobacillus paracollinoides	240427	species	10733574	1	0	0.0
Rhizobium daejeonense	240521	species	5144152	2	0	0.0
Thermodesulfatator	241192	genus	2322224	1	0	0.0
Rummeliibacillus stabekisii	241244	species	3420739	1	0	0.0
Desulfovibrio ferrophilus	241368	species	3720107	1	0	0.0
Porphyromonas gingivalis W83	242619	leaf	2343476	1	0	0.0
Dehalococcoides mccartyi 195	243164	leaf	1469720	1	1	0.0
Geobacter sulfurreducens PCA	243231	leaf	3814128	2	0	0.0
Methylococcus capsulatus str. Bath	243233	leaf	3304561	1	1	0.0
Treponema denticola ATCC 35405	243275	leaf	2843201	148	114	0.0
Bradyrhizobium betae	244734	species	7419402	2	2	0.0
Myxococcus xanthus DK 1622	246197	leaf	9139763	1	1	0.0
Prevotella intermedia 17	246198	leaf	2699437	2	0	0.0
Ruegeria pomeroyi DSS-3	246200	leaf	4601048	1	0	0.0
Paenibacillus xylanilyticus	248903	species	6447596	1	1	0.0
Spirochaeta perfilievii	252967	species	3700583	1	0	0.0
Pseudomonas sp. phDV1	253237	species	4727682	1	1	0.0
Ethanoligenens harbinense	253239	species	6018091	6	0	0.0
Aquicella siphonis	254247	species	2833188	1	0	0.0
Isoptericola	254250	genus	3567356	3	0	0.0
Roseomonas gilardii	257708	species	5412463	1	0	0.0
Rhodopseudomonas palustris CGA009	258594	leaf	5467640	1	1	0.0
Psychrobacter arcticus 273-4	259536	leaf	2650701	1	0	0.0
Microbulbifer agarilyticus	260552	species	4255625	1	1	0.0
Janibacter melonis	262209	species	3481073	1	0	0.0
Lysobacter gummosus	262324	species	6056618	1	0	0.0
Verrucosispora maris AB-18-032	263358	leaf	6732271	1	0	0.0
Streptomyces hygroscopicus subsp. limoneus	264445	subspecies	10537932	1	0	0.0
Trichormus variabilis	264691	species	7100882	1	0	0.0
[Pseudomonas] mesoacidophila	265293	species	7840830	1	0	0.0
Serinicoccus	265976	genus	3420275	3	0	0.0
Rubrobacter xylanophilus DSM 9941	266117	leaf	3225748	1	0	0.0
Paraburkholderia xenovorans LB400	266265	leaf	19434089	2	2	0.0
Chryseobacterium jeonii	266749	species	3288745	1	0	0.0
Chelativorans sp. BNC1	266779	species	4935185	2	0	0.0
Kineococcus radiotolerans SRS30216 = ATCC BAA-149	266940	leaf	4956672	3	0	0.0
Sphingopyxis granuli	267128	species	4679853	1	1	0.0
Methanococcus maripaludis S2	267377	leaf	1661137	1	1	0.0
Mycoplasma mobile 163K	267748	leaf	777079	1	0	0.0
Sporolactobacillus terrae	269673	species	9802794	3	0	0.0
Rhodospirillum rubrum ATCC 11170	269796	leaf	4406557	2	0	0.0
Methanosarcina barkeri str. Fusaro	269797	leaf	4873766	2	1	0.0
Geobacter metallireducens GS-15	269799	leaf	4011182	1	1	0.0
Thermobifida fusca YX	269800	leaf	3642249	1	0	0.0
